"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:37:18.897Z","info","/users/login","POST",225,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:37:20.376Z","info","/users/login","POST",135,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:37:21.874Z","info","/users/login","POST",144,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:37:32.700Z","info","/users/login","POST",73,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:37:34.414Z","info","/users/login","POST",89,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:38:01.509Z","info",,,,
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:38:07.160Z","info",,,,
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:38:51.304Z","info","/users/login","POST",95,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:38:52.665Z","info","/users/login","POST",75,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:41:43.237Z","info",,,,
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:50.975Z","info","/images/image_1729451457799.png","GET",48,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:51.409Z","info","/notifications/67155695d1c51105eeefadf5","GET",255,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:51.729Z","info","/dashboard/notifications","GET",421,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:51.833Z","info","/dashboard/meetings?timeLength=month&mode=team","GET",419,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:51.913Z","info","/users/device-token","POST",162,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:51.936Z","info","/dashboard/date-wise-lead-data?startDate=2025-07-01&endDate=2025-07-03","GET",592,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:53.841Z","info","/dashboard/cre-performance?startDate=2025-07-01&endDate=2025-07-03","GET",2599,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:54.137Z","info","/images/image_1742528979946.jpg","GET",6,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:54.149Z","info","/images/image_1735566511088.png","GET",10,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:54.155Z","info","/images/image_1739601147125.png","GET",3,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:50:54.176Z","info","/settings/lead","GET",2896,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:51:52.071Z","info","/users/departments/671553f4b001ad533a7d42b6","GET",15,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:51:52.648Z","info","/lead/conversation?page=1&limit=1200","GET",595,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:51:55.620Z","info","/images/image_1739601147125.png","GET",2,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:51:55.622Z","info","/images/image_1735566511088.png","GET",1,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:51:55.624Z","info","/images/image_1742528979946.jpg","GET",0,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:51:55.625Z","info","/images/image_1738390967808.png","GET",1,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:51:55.627Z","info","/profile_pictures/2078095355564923.jpg","GET",1,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:51:55.631Z","info","/images/image_1735566882610.png","GET",1,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:51:55.635Z","info","/images/image_1735566725892.png","GET",1,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:51:55.636Z","info","/profile_pictures/289500500919707.jpg","GET",1,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:27.484Z","info","/lead/conversation/68062d5c800913e82fd4e999/mark-messages-seen","PUT",11322,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:27.509Z","info","/lead/conversation/68062d5c800913e82fd4e999/messages/","GET",11213,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:27.519Z","info","/lead/68062d5c800913e82fd4e999","GET",11232,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:27.522Z","info","/meta-ads/for-lead/","GET",38,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:29.676Z","info","/lead/68062d5c800913e82fd4e999","GET",13,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:29.710Z","info","/meta-ads/for-lead/68062d5c800913e82fd4e999","GET",15,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:29.913Z","info","/images/image_1742445079027.png","GET",1,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:29.914Z","info","/images/image_1742445095051.png","GET",1,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:29.916Z","info","/images/image_1742445108439.png","GET",1,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:29.919Z","info","/images/image_1742445115114.png","GET",2,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:52.424Z","info","/meta-ads","GET",17,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:52.437Z","info","/users/departments/671553f4b001ad533a7d42b6","GET",26,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:52.451Z","info","/users?departmentName=CRE","GET",33,"127.0.0.1"
"timestamp","level","route","method","duration","clientIp"
"2025-07-02T20:52:52.523Z","info","/lead?page=1&limit=20&startDate=2025-07-02&endDate=2025-07-02","GET",114,"127.0.0.1"
